register,variable_name,documented_name,unit,data_type,values,adjustments,note,writable,read_interval
5017.b0,batterymaxcellnumtemp_1,BatteryMaxCellNumTemp_1,,8bit,0-255,,Cell number with maximum temperature,R,
5017.b8,batterymincellnumtemp_1,BatteryMinCellNumTemp_1,,8bit,0-255,,Cell number with minimum temperature,R,
5018.b8,batteryfirmwaremajor_1,BatteryFirmwareMajor_1,,8bit,0-255,,Firmware major version,R,
5018.b0,batteryfirmwareminor_1,BatteryFirmwareMinor_1,,8bit,0-255,,Firmware minor version,R,
5019-5026,batteryserialnumber_1,BatterySerialNumber_1,,ASCII,,,Battery serial number (8 registers),R,
5020,register_5020,Register_5020,,ushort,0-65535,,Unknown,R,
5021,register_5021,Register_5021,,ushort,0-65535,,Unknown,R,
5022,register_5022,Register_5022,,ushort,0-65535,,Unknown,R,
5023,register_5023,Register_5023,,ushort,0-65535,,Unknown,R,
5024,register_5024,Register_5024,,ushort,0-65535,,Unknown,R,
5025,register_5025,Register_5025,,ushort,0-65535,,Unknown,R,
5027,register_5027,Register_5027,,ushort,0-65535,,Unknown,R,
5032,batterystatusheader_2,BatteryStatusHeader_2,,,0-65535,,Battery status header,R,
5033,batteryfullcapacity_2,BatteryFullCapacity_2,Ah,,0-65535,,Full rated capacity,R,
5034,batterychargevoltageref_2,BatteryChargeVoltageRef_2,0.1V,,0-65535,,BMS charge voltage reference,R,
5035,batterychargecurrentlimit_2,BatteryChargeCurrentLimit_2,0.1A,,0-65535,,BMS charge current limit,R,
5036,batterydischargecurrentlimit_2,BatteryDischargeCurrentLimit_2,0.1A,,0-65535,,BMS discharge current limit,R,
5037,batterydischargevoltagecutoff_2,BatteryDischargeVoltageCutoff_2,0.1V,,0-65535,,BMS discharge voltage cutoff,R,
5038,batteryvoltage_2,BatteryVoltage_2,0.01V,,0-65535,,Battery module voltage,R,
5039,batterycurrent_2,BatteryCurrent_2,0.1A,short,-32768-32767,,Battery module current,R,
5040.b0,batterysoc_2,BatterySOC_2,%,8bit,0-100,,Battery state of charge,R,
5040.b8,batterysoh_2,BatterySOH_2,%,8bit,0-100,,Battery state of health,R,
5041,batterycyclecount_2,BatteryCycleCount_2,,,0-65535,,Charge/discharge cycle count,R,
5042,batterymaxcelltemp_2,BatteryMaxCellTemp_2,0.1C,short,-32768-32767,,Maximum cell temperature,R,
5043,batterymincelltemp_2,BatteryMinCellTemp_2,0.1C,short,-32768-32767,,Minimum cell temperature,R,
5044,batterymaxcellvoltage_2,BatteryMaxCellVoltage_2,0.001V,,0-65535,,Maximum cell voltage,R,
5045,batterymincellvoltage_2,BatteryMinCellVoltage_2,0.001V,,0-65535,,Minimum cell voltage,R,
5046.b0,batterymaxcellnumvoltage_2,BatteryMaxCellNumVoltage_2,,8bit,0-255,,Cell number with maximum voltage,R,
5046.b8,batterymincellnumvoltage_2,BatteryMinCellNumVoltage_2,,8bit,0-255,,Cell number with minimum voltage,R,
5047.b0,batterymaxcellnumtemp_2,BatteryMaxCellNumTemp_2,,8bit,0-255,,Cell number with maximum temperature,R,
5047.b8,batterymincellnumtemp_2,BatteryMinCellNumTemp_2,,8bit,0-255,,Cell number with minimum temperature,R,
5048.b8,batteryfirmwaremajor_2,BatteryFirmwareMajor_2,,8bit,0-255,,Firmware major version,R,
5048.b0,batteryfirmwareminor_2,BatteryFirmwareMinor_2,,8bit,0-255,,Firmware minor version,R,
5049-5056,batteryserialnumber_2,BatterySerialNumber_2,,ASCII,,,Battery serial number (8 registers),R,
5050,register_5050,Register_5050,,ushort,0-65535,,Unknown,R,
5051,register_5051,Register_5051,,ushort,0-65535,,Unknown,R,
5052,register_5052,Register_5052,,ushort,0-65535,,Unknown,R,
5053,register_5053,Register_5053,,ushort,0-65535,,Unknown,R,
5054,register_5054,Register_5054,,ushort,0-65535,,Unknown,R,
5055,register_5055,Register_5055,,ushort,0-65535,,Unknown,R,
5056,register_5056,Register_5056,,ushort,0-65535,,Unknown,R,
5057,register_5057,Register_5057,,ushort,0-65535,,Unknown,R,
5062,batterystatusheader_3,BatteryStatusHeader_3,,,0-65535,,Battery status header,R,
5063,batteryfullcapacity_3,BatteryFullCapacity_3,Ah,,0-65535,,Full rated capacity,R,
5064,batterychargevoltageref_3,BatteryChargeVoltageRef_3,0.1V,,0-65535,,BMS charge voltage reference,R,
5065,batterychargecurrentlimit_3,BatteryChargeCurrentLimit_3,0.1A,,0-65535,,BMS charge current limit,R,
5066,batterydischargecurrentlimit_3,BatteryDischargeCurrentLimit_3,0.1A,,0-65535,,BMS discharge current limit,R,
5067,batterydischargevoltagecutoff_3,BatteryDischargeVoltageCutoff_3,0.1V,,0-65535,,BMS discharge voltage cutoff,R,
5068,batteryvoltage_3,BatteryVoltage_3,0.01V,,0-65535,,Battery module voltage,R,
5069,batterycurrent_3,BatteryCurrent_3,0.1A,short,-32768-32767,,Battery module current,R,
5070.b0,batterysoc_3,BatterySOC_3,%,8bit,0-100,,Battery state of charge,R,
5070.b8,batterysoh_3,BatterySOH_3,%,8bit,0-100,,Battery state of health,R,
5071,batterycyclecount_3,BatteryCycleCount_3,,,0-65535,,Charge/discharge cycle count,R,
5072,batterymaxcelltemp_3,BatteryMaxCellTemp_3,0.1C,short,-32768-32767,,Maximum cell temperature,R,
5073,batterymincelltemp_3,BatteryMinCellTemp_3,0.1C,short,-32768-32767,,Minimum cell temperature,R,
5074,batterymaxcellvoltage_3,BatteryMaxCellVoltage_3,0.001V,,0-65535,,Maximum cell voltage,R,
5075,batterymincellvoltage_3,BatteryMinCellVoltage_3,0.001V,,0-65535,,Minimum cell voltage,R,
5076.b0,batterymaxcellnumvoltage_3,BatteryMaxCellNumVoltage_3,,8bit,0-255,,Cell number with maximum voltage,R,
5076.b8,batterymincellnumvoltage_3,BatteryMinCellNumVoltage_3,,8bit,0-255,,Cell number with minimum voltage,R,
5077.b0,batterymaxcellnumtemp_3,BatteryMaxCellNumTemp_3,,8bit,0-255,,Cell number with maximum temperature,R,
5077.b8,batterymincellnumtemp_3,BatteryMinCellNumTemp_3,,8bit,0-255,,Cell number with minimum temperature,R,
5078.b8,batteryfirmwaremajor_3,BatteryFirmwareMajor_3,,8bit,0-255,,Firmware major version,R,
5078.b0,batteryfirmwareminor_3,BatteryFirmwareMinor_3,,8bit,0-255,,Firmware minor version,R,
5079-5086,batteryserialnumber_3,BatterySerialNumber_3,,ASCII,,,Battery serial number (8 registers),R,
5092,batterystatusheader_4,BatteryStatusHeader_4,,,0-65535,,Battery status header,R,
5093,batteryfullcapacity_4,BatteryFullCapacity_4,Ah,,0-65535,,Full rated capacity,R,
5094,batterychargevoltageref_4,BatteryChargeVoltageRef_4,0.1V,,0-65535,,BMS charge voltage reference,R,
5095,batterychargecurrentlimit_4,BatteryChargeCurrentLimit_4,0.1A,,0-65535,,BMS charge current limit,R,
5096,batterydischargecurrentlimit_4,BatteryDischargeCurrentLimit_4,0.1A,,0-65535,,BMS discharge current limit,R,
5097,batterydischargevoltagecutoff_4,BatteryDischargeVoltageCutoff_4,0.1V,,0-65535,,BMS discharge voltage cutoff,R,
5098,batteryvoltage_4,BatteryVoltage_4,0.01V,,0-65535,,Battery module voltage,R,
5099,batterycurrent_4,BatteryCurrent_4,0.1A,short,-32768-32767,,Battery module current,R,
5100.b0,batterysoc_4,BatterySOC_4,%,8bit,0-100,,Battery state of charge,R,
5100.b8,batterysoh_4,BatterySOH_4,%,8bit,0-100,,Battery state of health,R,
5101,batterycyclecount_4,BatteryCycleCount_4,,,0-65535,,Charge/discharge cycle count,R,
5102,batterymaxcelltemp_4,BatteryMaxCellTemp_4,0.1C,short,-32768-32767,,Maximum cell temperature,R,
5103,batterymincelltemp_4,BatteryMinCellTemp_4,0.1C,short,-32768-32767,,Minimum cell temperature,R,
5104,batterymaxcellvoltage_4,BatteryMaxCellVoltage_4,0.001V,,0-65535,,Maximum cell voltage,R,
5105,batterymincellvoltage_4,BatteryMinCellVoltage_4,0.001V,,0-65535,,Minimum cell voltage,R,
5106.b0,batterymaxcellnumvoltage_4,BatteryMaxCellNumVoltage_4,,8bit,0-255,,Cell number with maximum voltage,R,
5106.b8,batterymincellnumvoltage_4,BatteryMinCellNumVoltage_4,,8bit,0-255,,Cell number with minimum voltage,R,
5107.b0,batterymaxcellnumtemp_4,BatteryMaxCellNumTemp_4,,8bit,0-255,,Cell number with maximum temperature,R,
5107.b8,batterymincellnumtemp_4,BatteryMinCellNumTemp_4,,8bit,0-255,,Cell number with minimum temperature,R,
5108.b8,batteryfirmwaremajor_4,BatteryFirmwareMajor_4,,8bit,0-255,,Firmware major version,R,
5108.b0,batteryfirmwareminor_4,BatteryFirmwareMinor_4,,8bit,0-255,,Firmware minor version,R,
5109-5116,batteryserialnumber_4,BatterySerialNumber_4,,ASCII,,,Battery serial number (8 registers),R,
